wmo,name,country,latitude,longitude,source,epw_url
247240,Chernyshevsky,RUS,63.0171,112.434,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Chernyshevsky.247240_TMYx.2007-2021.zip
251230,Chersky AP,RUS,68.7451,161.338,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Chersky.AP.251230_TMYx.2007-2021.zip
344320,Chertkovo,RUS,49.383,40.167,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ROS_Rostov/RUS_ROS_Chertkovo.344320_TMYx.zip
293930,Chervyanka,RUS,57.654,99.542,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/IRK_Irkutsk/RUS_IRK_Chervyanka.293930_TMYx.2007-2021.zip
219650,Chetyrehstolbovoy Island,RUS,70.633,162.483,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Chetyrehstolbovoy.Island.219650_TMYx.zip
293560,Chindat,RUS,57.367,89.317,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Chindat.293560_TMYx.zip
290750,Chirimba,RUS,59.717,93.433,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KYA_Krasnoyarsk/RUS_KYA_Chirimba.290750_TMYx.zip
297020,Chistoozernoye,RUS,54.717,76.717,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/NVS_Novosibirsk/RUS_NVS_Chistoozernoye.297020_TMYx.zip
286010,Chistopol,RUS,55.317,50.617,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/TA_Tatarstan/RUS_TA_Chistopol.286010_TMYx.zip
219460,Chokurdakh AP,RUS,70.617,147.883,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Chokurdakh.AP.219460_TMYx.2007-2021.zip
270440,Chuchkovo,RUS,59.583,41.25,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/VLG_Vologda/RUS_VLG_Chuchkovo.270440_TMYx.zip
277870,Chufarovo-Annenkovo,RUS,54.1,47.333,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/ULY_Ulyanovsk/RUS_ULY_Chufarovo-Annenkovo.277870_TMYx.zip
319390,Chuguyevka,RUS,44.15,133.867,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PRI_Primorsky/RUS_PRI_Chuguyevka.319390_TMYx.2007-2021.zip
303930,Chulman AP,RUS,56.914,124.912,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Chulman.AP.303930_TMYx.2007-2021.zip
287040,Chulpanovo,RUS,54.5,50.417,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/TA_Tatarstan/RUS_TA_Chulpanovo.287040_TMYx.2007-2021.zip
296250,Chulym,RUS,55.1,80.967,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/NVS_Novosibirsk/RUS_NVS_Chulym.296250_TMYx.2007-2021.zip
312860,Chumikan,RUS,54.717,135.317,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/KHA_Khabarovsk/RUS_KHA_Chumikan.312860_TMYx.zip
245380,Chumpuruk,RUS,64.233,116.917,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Chumpuruk.245380_TMYx.2007-2021.zip
247680,Churapcha,RUS,62.033,132.6,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Churapcha.247680_TMYx.2007-2021.zip
281280,Chyormoz,RUS,58.767,56.2,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PER_Perm/RUS_PER_Chyormoz.281280_TMYx.zip
345780,Chyorny Yar,RUS,48.067,46.117,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/AST_Astrakhan/RUS_AST_Chyorny.Yar.345780_TMYx.2007-2021.zip
321490,Crillon Cape,RUS,45.9094,142.077,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SAK_Sakhalin/RUS_SAK_Crillon.Cape.321490_TMYx.zip
311230,Cyulbyu,RUS,57.81681,130.9028,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/SA_Sakha/RUS_SA_Cyulbyu.311230_TMYx.2007-2021.zip
307140,Dabady,RUS,52.1,102.7,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/IRK_Irkutsk/RUS_IRK_Dabady.307140_TMYx.2007-2021.zip
220370,Dalne Zelenetskaya,RUS,69.117,36.067,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/MUR_Murmansk/RUS_MUR_Dalne.Zelenetskaya.220370_TMYx.zip
318730,Dalnerechensk,RUS,45.8796,133.7245,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/PRI_Primorsky/RUS_PRI_Dalnerechensk.318730_TMYx.2007-2021.zip
312570,Dambuki,RUS,54.375,127.5259,TMYx,https://climate.onebuilding.org/WMO_Region_2_Asia/RUS_Russian_Federation/AMU_Amur/RUS_AMU_Dambuki.312570_TMYx.zip
342670,Danilovka,RUS,50.367,44.117,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/VGG_Volgograd/RUS_VGG_Danilovka.342670_TMYx.2007-2021.zip
227230,Danilovo,RUS,62.967,35.7,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KR_Karelia/RUS_KR_Danilovo.227230_TMYx.zip
271850,Darovskoy,RUS,58.783,47.983,TMYx,https://climate.onebuilding.org/WMO_Region_6_Europe/RUS_Russian_Federation/KIR_Kirov/RUS_KIR_Darovskoy.271850_TMYx.zip
